datetime,J1,J10,J103,J104,J11,J118,J12,J121,J126,J13,J14,J147,J151,J156,J17,J18,J2,J23,J25,J26,J27,J3,J30,J32,J4,J43,J44,J46,J5,J50,J52,J57,J6,J63,J7,J70,J71,J8,J89,J9,J96,outfall
2025-06-01 13:43:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.251875688299148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01 13:44:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.929965057486768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6442422297441537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01 13:44:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.812587447410515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01 13:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.159413193797661,0.0,0.0
2025-06-01 13:45:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.783369350138775,0.0,0.0
2025-06-01 13:45:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19589765855676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.621924573373235,0.0,0.0
2025-06-01 13:46:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12081642240014,0.0,0.0,15.686913934401332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2017956971059505,0.0,0.0,0.0,0.0,0.0,2.146404855138371,0.0,0.0
2025-06-01 13:46:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27886223911873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05560825536827,0.0,0.0,4.487815149108201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.106384573495461,8.841614516350432,4.708160561193182,0.0,0.0,0.0,0.0,7.89998613579337,0.0,0.0
2025-06-01 13:47:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.445871788404816,0.0,0.0,2.7963859187597393,0.0,2.461784343692891,0.0,0.0,0.0,13.198832500298067,0.0,0.0,5.007740399629938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5273656738380055,10.671450098552668,5.220357897179895,0.0,3.228656858067218,0.0,0.0,11.435851146919958,0.0,0.0
2025-06-01 13:47:30,0.0,0.0,0.0,0.0,2.8289888125283973,0.0,0.0,0.0,8.56708898038661,0.0,0.0,5.670280759125969,0.0,4.356888854252581,0.0,0.0,0.0,13.941678335119779,0.0,0.0,11.351333590054669,2.8131497049937453,0.0,0.0,0.0,4.39479322750062,0.0,0.0,0.0,0.0,0.0,0.0,10.63494421161115,11.997095610843086,7.582360364883709,0.0,2.7607484169901833,0.0,0.0,6.811182011435478,1.674753756015635,0.0
2025-06-01 13:47:55,0.0,0.0,0.0,0.0,3.5965302532699184,0.0,7.498074266747544,0.0,10.659486221425823,0.0,0.0,8.443769894225852,0.0,5.5761015273147905,0.0,0.0,1.32983093640604,14.756367377138304,0.0,0.0,9.925954011945123,2.1762744485603065,0.0,0.0,0.0,6.322068939234384,0.0,0.0,1.0367896424388334,0.0,0.0,0.0,15.881383034873807,13.023518852384314,10.988267113888014,0.0,6.9023069910150525,0.0,0.0,6.4228518526115295,3.6202107925746247,0.0
2025-06-01 13:48:20,0.0,0.0,0.0,0.0,4.643202909941579,0.0,4.521751719611643,0.0,12.74249958771793,0.0,0.0,11.09386292574618,0.0,6.700378373035278,0.0,0.0,2.637692326619927,15.703495429022041,0.0,0.0,7.907181185141326,3.119355907050277,0.0,0.0,0.7819413898573728,8.247606519974397,0.0,0.0,0.0,0.0,0.0,0.0,17.483937353370948,14.066240039072,15.522732850232842,0.0,9.403489322435917,0.0,0.0,9.249291396867193,6.357813473726196,0.0
2025-06-01 13:48:45,0.0,0.0,0.0,0.0,5.4276738119447145,0.0,6.827442835375109,1.262633003030567,14.812180425255065,0.0,0.0,13.604917369291798,0.0,7.822984547693068,0.0,0.0,4.344594614261723,16.790764572466287,0.0,0.0,10.630374328880407,3.692211723217497,0.0,0.0,0.34515408443187745,10.114835423557906,0.0,0.0,0.6412891806297125,0.0,0.0,0.6427502191809538,15.278645047217651,15.4011056912409,19.366419179583318,0.0,11.152716454265146,3.3556087448714607,6.627581145493082,10.711417409184833,9.381221726475474,0.0
2025-06-01 13:49:10,0.0,0.0,0.0,0.0,6.398554986079603,0.0,9.54636383654099,2.236639369289449,16.871524014402894,0.0,0.0,15.976979917877998,0.0,8.955275703709276,0.0,0.0,5.664399811138992,18.020683674423708,0.0,3.876723808941179,12.770243173617928,4.4196671905269795,0.0,0.0,3.2731402957280835,11.920338635263533,0.0,0.0,2.0637107005147186,0.0,0.0,0.0,14.405771530533457,17.115981094862036,21.260325088502668,0.0,12.494301633298619,4.165910823561944,7.2184805272659105,12.352060270546644,14.017823744252382,0.0
2025-06-01 13:49:35,0.0,0.0,0.0,0.0,7.249531871778345,0.0,11.986180869590953,3.178730908344164,18.924409976444622,0.0,0.0,18.21884638485608,0.0,10.092805637405945,0.0,0.0,6.911432105750237,19.388242356249066,0.0,0.0,12.344110757722774,5.425350778307234,0.0,0.0,8.371672774737988,13.672819188967424,0.0,0.0,3.7052502781672843,0.0,0.0,0.0,15.106694369300385,19.089188088732953,21.64121294940378,1.03126735677996,12.994688562361716,4.84419340489012,8.130460756242087,9.560466535600426,18.513249114861992,0.0
2025-06-01 13:50:00,0.0,0.0,0.0,0.0,8.09348931723207,0.0,14.020259472451016,4.106620744558654,20.97372067701872,0.0,0.0,20.34729073010749,0.0,11.218565111698808,0.0,0.0,8.141499397767575,20.878671274103908,0.0,0.2951215766620052,11.254677300236835,6.666094018650938,0.0,0.0,14.375072818128388,15.376564287833844,0.0,0.0,5.343868957915561,0.0,0.0,0.0,15.750105543426798,21.115098389634113,21.252435621506265,2.1787608226553203,12.649595556053555,5.5492318724108145,9.36532219327114,14.138647149647113,21.187124933628183,0.0
2025-06-01 13:50:25,0.0,0.0,0.0,0.0,9.179317575439654,0.0,15.394438419220933,5.111048070633387,23.063435487074457,0.0,0.0,22.19875564830909,0.0,12.09346323211139,0.5039621894948887,0.0,9.115867945757827,22.151562385723082,0.0,3.745304182760208,13.797947811544873,7.807127150776751,0.0,0.0,19.22953636934676,17.037632546775512,0.0,0.0,6.562821850827845,0.0,0.0,0.0,15.706420080839962,23.186957131538293,20.751682680509475,3.408269742656387,11.983606862454963,6.442362556922944,10.875312951682872,14.000306503373395,23.011106003004898,0.0
2025-06-01 13:50:50,0.0,0.0,0.0,0.0,10.127585234915387,0.0,16.454867326094245,6.111213808305479,25.151718838475972,0.0,0.0,23.964402596046057,0.0,12.923788121665439,3.342904648651313,0.0,10.090324535526179,23.5060796228463,0.0,7.38876013725104,15.017827029002547,8.923876705257953,0.0,0.0,21.890780333066687,18.65730313708991,0.0,0.0,7.441005691055352,0.0,0.0,0.0,16.4916635386262,24.96264138340848,20.873905022410327,4.734590584510897,11.278294519877818,7.3914247071743375,12.582578986072349,13.863200242010862,24.72030678558349,0.0
2025-06-01 13:51:15,0.0,0.0,0.0,0.0,10.13765553737403,0.0,15.43018400271103,6.173085230090237,25.363037549783257,0.0,0.0,23.82900286390941,0.0,12.790358935255426,5.187020115053315,0.0,10.06703088263248,23.536575839427314,0.0,8.06762960556739,14.28886646367846,9.12993237265664,0.0,0.0,21.204423764771946,18.30282783360417,0.0,0.0,7.508622623048495,0.0,0.0,0.0,15.823395821077611,24.977207361927867,20.385846152175873,5.7608778561973395,9.880156919681212,7.487860990757781,13.65235944993583,11.870515720220283,23.77356095477535,0.0
